AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,36.36,44.91,30.43,0.0,57.14,57.35,33.33,49.08
25-29,25.0,42.28,60.0,0.0,30.0,43.46,38.82,42.47
30-34,50.0,49.16,40.0,0.0,57.14,55.06,51.14,52.9
35-39,33.33,62.07,66.67,100.0,44.44,63.62,45.57,61.79
40-44,33.33,59.4,0.0,0.0,70.0,68.71,45.83,64.41
45-49,40.0,65.05,66.67,0.0,50.0,73.64,49.37,69.58
50-54,57.14,69.69,50.0,0.0,60.0,72.99,56.92,71.21
55-59,0.0,70.61,77.78,100.0,80.0,77.2,43.48,73.78
60-64,100.0,70.03,50.0,0.0,100.0,80.69,44.0,76.55
65-OVER,50.0,67.43,0.0,0.0,71.43,78.38,51.96,75.31
TOTAL,42.11,60.82,43.55,33.33,58.46,70.23,43.19,65.78
