PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
TARBORO,67.50,66.74,33.33,67.00
WAVERLY,67.75,71.51,0.00,69.67
WOODBINE,59.60,65.93,0.00,62.90
BROWNTOWN,54.30,55.97,0.00,55.14
HARRIETTS BLUFF,62.59,59.20,100.0,60.86
WEST KINGSLAND,52.07,54.06,50.00,53.14
NORTH KINGSLAND,50.18,53.57,100.0,52.12
KINGSLAND,47.45,48.23,0.00,47.89
EAST KINGSLAND,51.82,52.79,100.0,52.38
NORTH ST MARYS,35.88,35.67,0.00,35.74
MARY LEE CLARK,51.44,49.22,0.00,50.15
SOUTH ST MARYS,57.33,60.62,0.00,59.08
MUSH BLUFF,51.87,53.01,66.67,52.51
WEST SAINT MARYS,64.80,64.76,100.0,64.79
TOTAL,54.29,54.69,58.82,54.51
