AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,528.0,0.0,15.0,16.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,204.0,136.0,0.0,119.0,29.0
30-34,520.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,200.0,156.0,0.0,111.0,35.0
35-39,581.0,0.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,196.0,203.0,0.0,119.0,43.0
40-44,568.0,0.0,13.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,218.0,178.0,0.0,104.0,43.0
45-49,657.0,0.0,10.0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,216.0,231.0,0.0,117.0,60.0
50-54,739.0,0.0,6.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,285.0,229.0,0.0,131.0,73.0
55-59,830.0,0.0,8.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,306.0,266.0,0.0,149.0,88.0
60-64,823.0,0.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,322.0,271.0,0.0,143.0,65.0
65-OVER,2170.0,0.0,15.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,895.0,755.0,0.0,303.0,170.0
TOTAL,7416.0,0.0,85.0,99.0,0.0,10.0,8.0,0.0,2.0,0.0,0.0,15.0,11.0,0.0,10.0,7.0,0.0,2842.0,2425.0,0.0,1296.0,606.0
