PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
CLARK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,45.0,0.0,1.0,1.0,96.0
EDDIN,0.0,14.0,23.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,343.0,329.0,0.0,166.0,124.0,1005.0
EMPIR,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,202.0,195.0,0.0,13.0,10.0,434.0
JAYBI,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,73.0,0.0,44.0,25.0,215.0
JONES,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,211.0,198.0,0.0,11.0,11.0,449.0
LEE,0.0,75.0,66.0,0.0,7.0,7.0,0.0,1.0,1.0,0.0,14.0,12.0,0.0,9.0,10.0,1.0,1552.0,1308.0,0.0,1034.0,625.0,4722.0
MCCRA,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,126.0,116.0,0.0,29.0,21.0,297.0
MILAN,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,153.0,111.0,0.0,25.0,29.0,326.0
MITCH,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,139.0,143.0,0.0,31.0,32.0,357.0
MULLI,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,182.0,176.0,0.0,70.0,53.0,493.0
PLAIN,0.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,172.0,182.0,0.0,23.0,14.0,410.0
PONDT,0.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,273.0,235.0,0.0,93.0,64.0,684.0
RAWLI,0.0,14.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,2.0,0.0,352.0,328.0,0.0,105.0,69.0,893.0
VILUL,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,75.0,0.0,5.0,10.0,167.0
YONKE,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,105.0,0.0,12.0,6.0,232.0
TOTAL,1.0,145.0,150.0,0.0,12.0,11.0,0.0,3.0,2.0,0.0,28.0,23.0,0.0,19.0,15.0,3.0,3993.0,3619.0,0.0,1662.0,1094.0,10780.0
