AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,1812.0,1.0,52.0,78.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,5.0,7.0,0.0,550.0,461.0,0.0,399.0,232.0
30-34,1556.0,0.0,38.0,45.0,0.0,6.0,3.0,0.0,1.0,1.0,0.0,11.0,7.0,0.0,8.0,5.0,0.0,521.0,430.0,0.0,303.0,177.0
35-39,1546.0,1.0,34.0,52.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,16.0,12.0,0.0,4.0,2.0,1.0,551.0,419.0,0.0,309.0,137.0
40-44,1425.0,0.0,21.0,46.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,4.0,2.0,0.0,510.0,425.0,1.0,255.0,146.0
45-49,1631.0,0.0,27.0,39.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,5.0,4.0,0.0,5.0,3.0,1.0,572.0,560.0,0.0,247.0,158.0
50-54,1710.0,0.0,21.0,41.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,5.0,3.0,0.0,615.0,524.0,0.0,294.0,190.0
55-59,1818.0,1.0,32.0,24.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,7.0,5.0,1.0,689.0,575.0,0.0,278.0,193.0
60-64,1818.0,0.0,22.0,23.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,7.0,3.0,0.0,3.0,1.0,1.0,681.0,612.0,0.0,262.0,194.0
65-OVER,4869.0,1.0,49.0,53.0,0.0,7.0,6.0,0.0,0.0,3.0,0.0,4.0,6.0,0.0,6.0,7.0,2.0,2078.0,1625.0,0.0,632.0,390.0
TOTAL,18185.0,4.0,296.0,401.0,0.0,45.0,26.0,0.0,4.0,10.0,0.0,65.0,51.0,0.0,47.0,35.0,6.0,6767.0,5631.0,1.0,2979.0,1817.0
