AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,16.0,17.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,1.0,5.0,0.0,77.0,77.0,0.0,237.0,180.0,636.0
25-29,0.0,8.0,11.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,80.0,85.0,0.0,296.0,240.0,737.0
30-34,0.0,13.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,73.0,77.0,0.0,206.0,159.0,550.0
35-39,0.0,12.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,68.0,46.0,0.0,216.0,138.0,496.0
40-44,0.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,84.0,79.0,0.0,186.0,137.0,504.0
45-49,0.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,6.0,0.0,87.0,87.0,0.0,172.0,127.0,499.0
50-54,0.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,111.0,103.0,0.0,243.0,175.0,658.0
55-59,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,6.0,0.0,121.0,108.0,0.0,265.0,201.0,722.0
60-64,0.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,6.0,0.0,148.0,157.0,0.0,222.0,171.0,731.0
65-OVER,0.0,8.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,426.0,370.0,0.0,540.0,338.0,1701.0
TOTAL,1.0,91.0,90.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,36.0,18.0,0.0,26.0,35.0,0.0,1275.0,1189.0,0.0,2583.0,1866.0,7234.0
