AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,737.0,0.0,8.0,11.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,80.0,85.0,0.0,296.0,240.0
30-34,550.0,0.0,13.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,73.0,77.0,0.0,206.0,159.0
35-39,496.0,0.0,12.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,68.0,46.0,0.0,216.0,138.0
40-44,504.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,84.0,79.0,0.0,186.0,137.0
45-49,499.0,0.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,6.0,0.0,87.0,87.0,0.0,172.0,127.0
50-54,658.0,0.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,111.0,103.0,0.0,243.0,175.0
55-59,722.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,6.0,0.0,121.0,108.0,0.0,265.0,201.0
60-64,731.0,0.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,6.0,0.0,148.0,157.0,0.0,222.0,171.0
65-OVER,1701.0,0.0,8.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,426.0,370.0,0.0,540.0,338.0
TOTAL,6598.0,0.0,75.0,73.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,23.0,13.0,0.0,25.0,30.0,0.0,1198.0,1112.0,0.0,2346.0,1686.0
