PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
SHARPTOP,0.0,19.0,27.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,8.0,3.0,0.0,3.0,1.0,0.0,953.0,823.0,0.0,2.0,1.0,1847.0
APPALACHIAN,0.0,16.0,18.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,1.0,0.0,591.0,532.0,0.0,5.0,5.0,1188.0
REFUGE,0.0,18.0,29.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,748.0,660.0,0.0,6.0,4.0,1474.0
HILL,0.0,14.0,27.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,0.0,2.0,2.0,0.0,558.0,513.0,0.0,0.0,0.0,1132.0
HINTON,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,249.0,211.0,0.0,1.0,1.0,473.0
JERUSALEM,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,302.0,302.0,0.0,0.0,1.0,625.0
LUDVILLE,0.0,9.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,184.0,175.0,0.0,0.0,0.0,380.0
NELSON,0.0,13.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,453.0,407.0,0.0,6.0,6.0,908.0
TALKING ROCK,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,555.0,479.0,0.0,3.0,4.0,1070.0
JASPER,0.0,23.0,28.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,15.0,5.0,0.0,3.0,4.0,0.0,697.0,530.0,0.0,18.0,10.0,1340.0
TATE,0.0,29.0,30.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,3.0,3.0,0.0,787.0,705.0,0.0,4.0,6.0,1581.0
TOTAL,0.0,161.0,200.0,0.0,14.0,12.0,0.0,8.0,6.0,0.0,56.0,30.0,0.0,17.0,17.0,0.0,6077.0,5337.0,0.0,45.0,38.0,12018.0
