AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,644.0,0.0,10.0,15.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,295.0,247.0,0.0,37.0,26.0
30-34,504.0,1.0,11.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,228.0,194.0,0.0,26.0,27.0
35-39,473.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,220.0,184.0,0.0,26.0,26.0
40-44,575.0,0.0,10.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,252.0,234.0,0.0,30.0,25.0
45-49,622.0,0.0,9.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,287.0,249.0,0.0,34.0,28.0
50-54,679.0,0.0,7.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,289.0,281.0,0.0,44.0,39.0
55-59,733.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,336.0,300.0,0.0,40.0,32.0
60-64,584.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,256.0,231.0,0.0,47.0,32.0
65-OVER,1431.0,0.0,10.0,22.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,663.0,580.0,0.0,93.0,53.0
TOTAL,6245.0,1.0,69.0,110.0,0.0,9.0,6.0,0.0,5.0,2.0,0.0,16.0,16.0,0.0,10.0,8.0,2.0,2826.0,2500.0,0.0,377.0,288.0
