PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01,15.00,853.0,813.0,0.00,64.00,65.00,0.00,4.000,2.000,0.00,121.0,115.0,3.000,414.0,390.0,11.00,4351.0,3731.0,1.000,161.0,135.0,11249.0
02,10.00,419.0,316.0,0.00,46.00,33.00,0.00,2.000,2.000,0.00,116.0,82.00,0.00,122.0,124.0,3.000,1172.0,1007.0,1.000,276.0,161.0,3892.0
03,1.000,459.0,453.0,0.00,18.00,15.00,0.00,6.000,1.000,1.000,88.00,60.00,0.00,23.00,13.00,11.00,2606.0,2431.0,0.00,31.00,20.00,6237.0
04,2.000,279.0,264.0,0.00,6.000,8.000,0.00,3.000,5.000,0.00,42.00,25.00,0.00,8.000,3.000,6.000,1829.0,1694.0,0.00,9.000,7.000,4190.0
05,9.000,333.0,296.0,0.00,8.000,6.000,0.00,2.000,3.000,0.00,47.00,32.00,1.000,20.00,20.00,8.000,1449.0,1304.0,0.00,65.00,39.00,3642.0
06,2.000,279.0,292.0,0.00,16.00,6.000,0.00,0.00,1.000,0.00,50.00,42.00,0.00,16.00,7.000,3.000,1735.0,1491.0,0.00,21.00,6.000,3967.0
07,4.000,165.0,124.0,0.00,14.00,10.00,0.00,1.000,1.000,0.00,48.00,25.00,0.00,19.00,12.00,1.000,853.0,596.0,0.00,21.00,9.000,1903.0
08,10.00,422.0,372.0,0.00,12.00,20.00,0.00,0.00,1.000,0.00,50.00,38.00,0.00,42.00,27.00,9.000,2432.0,2252.0,0.00,39.00,32.00,5758.0
10,15.00,1038.0,970.0,0.00,74.00,50.00,0.00,6.000,5.000,3.000,134.0,118.0,0.00,144.0,124.0,13.00,4802.0,4406.0,1.000,191.0,138.0,12232.0
15,8.000,325.0,375.0,0.00,15.00,17.00,0.00,2.000,4.000,0.00,50.00,37.00,1.000,26.00,10.00,7.000,2279.0,1970.0,0.00,29.00,21.00,5176.0
16,7.000,528.0,499.0,1.000,30.00,16.00,0.00,6.000,1.000,0.00,143.0,87.00,0.00,34.00,22.00,10.00,3242.0,2750.0,0.00,87.00,61.00,7524.0
19,8.000,315.0,290.0,0.00,34.00,40.00,0.00,5.000,2.000,0.00,36.00,34.00,4.000,310.0,307.0,5.000,1341.0,1256.0,0.00,70.00,46.00,4103.0
21,9.000,592.0,615.0,0.00,41.00,46.00,0.00,4.000,2.000,0.00,95.00,101.0,2.000,373.0,337.0,4.000,3194.0,2945.0,1.000,128.0,109.0,8598.0
25,10.00,537.0,501.0,0.00,46.00,22.00,0.00,5.000,6.000,0.00,65.00,68.00,3.000,274.0,303.0,6.000,2042.0,1841.0,0.00,77.00,73.00,5879.0
27,7.000,416.0,419.0,1.000,14.00,17.00,0.00,5.000,0.00,0.00,58.00,59.00,0.00,23.00,16.00,5.000,2563.0,2240.0,0.00,44.00,46.00,5933.0
29,9.000,741.0,705.0,0.00,41.00,54.00,0.00,4.000,6.000,1.000,171.0,117.0,0.00,178.0,169.0,13.00,3519.0,3120.0,0.00,174.0,128.0,9150.0
TOTAL,126.0,7701.0,7304.0,2.000,479.0,425.0,0.00,55.00,42.00,5.000,1314.0,1040.0,14.00,2026.0,1884.0,115.0,39409.0,35034.0,4.000,1423.0,1031.0,99433.0
