AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,18.0,13.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0,12.0,0.0,1.0,2.0,0.0,149.0,146.0,0.0,119.0,78.0,554.0
30-34,0.0,17.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,138.0,128.0,0.0,82.0,47.0,428.0
35-39,0.0,11.0,11.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,140.0,109.0,0.0,86.0,33.0,400.0
40-44,0.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,151.0,127.0,0.0,61.0,37.0,404.0
45-49,0.0,9.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,119.0,149.0,0.0,78.0,48.0,429.0
50-54,0.0,13.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,164.0,138.0,0.0,81.0,65.0,482.0
55-59,0.0,10.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,219.0,174.0,0.0,89.0,70.0,577.0
60-64,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0,161.0,131.0,0.0,77.0,65.0,459.0
65-OVER,0.0,10.0,19.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,562.0,439.0,0.0,220.0,104.0,1367.0
TOTAL,0.0,103.0,98.0,0.0,12.0,6.0,0.0,3.0,2.0,0.0,35.0,35.0,0.0,10.0,12.0,0.0,1803.0,1541.0,0.0,893.0,547.0,5100.0
