AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,41.10,40.33,50.70,39.13,34.08,57.87,38.25,51.34
25-29,30.17,33.98,41.33,16.67,45.39,49.97,39.07,45.82
30-34,37.50,44.49,47.95,44.44,47.37,56.42,48.66,53.39
35-39,48.15,55.15,44.16,85.71,44.33,64.04,52.53,59.81
40-44,43.80,56.13,48.64,77.78,48.91,70.41,52.61,65.39
45-49,46.46,59.67,51.10,72.73,58.23,73.34,57.55,69.00
50-54,50.00,62.60,57.93,80.00,58.11,75.35,59.39,71.76
55-59,56.67,66.92,60.00,60.00,63.51,76.67,57.70,73.56
60-64,51.28,67.96,55.07,50.00,63.27,79.73,62.50,76.74
65-OVER,50.60,69.29,46.88,57.14,66.67,77.79,71.53,76.26
TOTAL,45.22,55.31,49.14,55.81,49.84,70.45,52.61,65.71
