AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,504.0,0.0,23.0,19.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,223.0,186.0,0.0,30.0,17.0
30-34,562.0,1.0,19.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,256.0,213.0,0.0,22.0,17.0
35-39,630.0,0.0,22.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,289.0,244.0,0.0,32.0,15.0
40-44,868.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,423.0,343.0,0.0,29.0,23.0
45-49,951.0,0.0,24.0,20.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,425.0,395.0,0.0,45.0,28.0
50-54,1010.0,0.0,30.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,432.0,431.0,0.0,45.0,36.0
55-59,882.0,0.0,19.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,385.0,375.0,0.0,44.0,37.0
60-64,771.0,0.0,18.0,18.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,354.0,304.0,0.0,31.0,38.0
65-OVER,1892.0,0.0,18.0,29.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,846.0,805.0,0.0,117.0,65.0
TOTAL,8070.0,1.0,194.0,204.0,0.0,14.0,10.0,0.0,2.0,1.0,0.0,17.0,8.0,0.0,13.0,6.0,0.0,3633.0,3296.0,0.0,395.0,276.0
