AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,56.67,48.19,59.81,50.00,47.41,59.53,43.46,53.58
25-29,24.07,25.38,33.80,0.00,22.03,34.44,30.47,31.22
30-34,33.33,38.04,37.14,0.00,32.50,49.02,44.51,45.30
35-39,46.15,50.06,43.75,100.0,50.00,61.63,48.44,56.96
40-44,64.29,54.22,41.18,0.00,33.33,67.98,52.90,62.85
45-49,46.15,54.46,54.55,0.00,52.94,71.57,54.73,66.10
50-54,57.69,59.77,76.92,100.0,53.85,73.58,59.33,69.07
55-59,55.00,61.65,73.91,0.00,61.54,75.73,51.61,70.80
60-64,50.00,63.09,64.29,0.00,50.00,78.66,48.94,73.26
65-OVER,47.83,61.72,53.33,100.0,43.48,76.94,58.01,73.16
TOTAL,45.51,48.71,52.64,38.46,41.49,64.20,46.40,58.35
