PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
MT. PLEASANT,0.00,9.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,204.0,194.0,0.00,19.00,13.00,446.0
RECOVERY,0.00,7.00,10.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,217.0,191.0,0.00,18.00,12.00,465.0
KENDRICK,0.00,3.00,7.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,2.00,142.0,128.0,0.00,35.00,21.00,344.0
CLIMAX,1.00,2.00,5.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,1.00,0.00,281.0,251.0,0.00,73.00,44.00,666.0
BRINSON,1.00,11.00,8.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,233.0,199.0,0.00,65.00,36.00,559.0
WEST BAINBRIDGE,0.00,14.00,21.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,5.00,0.00,1.00,1.00,0.00,379.0,334.0,1.00,378.0,155.0,1296.0
BAINBRIDGE-COLISEUM,0.00,43.00,38.00,0.00,8.00,6.00,0.00,3.00,0.00,0.00,23.00,17.00,0.00,11.00,2.00,0.00,1346.0,1053.0,1.00,723.0,329.0,3603.0
BDGE-FAIRGROUNDS,0.00,21.00,26.00,0.00,6.00,4.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,1.00,4.00,0.00,540.0,406.0,0.00,557.0,268.0,1837.0
ATTAPULGUS,0.00,14.00,13.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,9.00,7.00,0.00,0.00,2.00,0.00,222.0,204.0,0.00,441.0,242.0,1155.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,2.00,124.0,132.0,0.00,22.00,17.00,0.00,3.00,0.00,0.00,51.00,38.00,0.00,15.00,10.00,2.00,3564.0,2960.0,2.00,2309.0,1120.0,10371.0
