PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
CHICOPEE,38.3,54.09,42.73,0.0,52.94,68.02,45.83,56.39
OAKWOOD I,42.86,47.23,53.97,0.0,33.33,56.17,37.31,52.46
OAKWOOD II,69.44,62.0,61.21,50.0,61.76,71.01,54.62,68.47
FLOWERY BRANCH I,37.5,61.43,52.38,50.0,53.85,68.51,53.96,66.08
FLOWERY BRANCH II,51.72,56.47,56.83,66.67,51.61,66.29,45.95,62.59
ROBERTS,52.87,62.95,56.83,66.67,70.0,72.52,57.59,69.72
MORGAN I,66.67,53.19,45.0,100.0,63.64,71.73,60.19,68.78
MORGAN II,46.67,57.37,55.99,100.0,54.0,71.27,56.0,67.1
CANDLER,39.05,64.48,50.68,71.43,48.89,72.09,46.94,65.43
TADMORE,35.71,62.3,47.39,33.33,37.5,57.58,37.35,52.65
GLADE,47.06,51.66,42.39,0.0,40.91,64.24,44.38,60.02
LULA,59.26,56.12,47.76,50.0,38.46,66.64,57.39,64.77
CLERMONT,25.0,55.0,55.17,0.0,66.67,74.06,56.0,72.3
QUILLIANS,37.5,53.33,57.89,100.0,64.71,76.11,46.95,73.63
BARK CAMP,60.0,51.39,52.23,100.0,59.26,70.17,53.05,67.78
CHESTATEE,42.86,69.39,58.2,0.0,61.9,71.19,57.01,69.05
FORK,52.17,46.81,56.32,50.0,70.0,71.7,53.31,68.91
WHELCHEL,47.37,60.0,52.24,0.0,46.15,72.09,56.92,69.72
WEST WHELCHEL,50.0,70.59,65.57,0.0,58.82,77.13,69.72,76.21
GAINESVILLE I,35.71,43.28,46.88,100.0,43.48,69.52,47.24,63.47
GAINESVILLE II,47.62,59.4,31.51,100.0,27.78,41.2,34.24,51.86
GAINESVILLE III,27.41,43.56,40.31,40.0,44.19,49.32,35.42,44.25
GAINESVILLE IV,60.0,32.1,36.65,100.0,44.44,65.89,40.75,55.96
GAINESVILLE V,45.0,34.82,43.94,0.0,30.77,60.37,46.58,54.1
GILLSVILLE,42.86,63.64,60.61,0.0,75.0,75.24,63.38,73.26
BIG HICKORY,57.14,30.77,60.53,33.33,41.67,76.2,63.6,74.73
FRIENDSHIP I,51.95,64.78,61.02,75.0,53.62,77.46,71.88,75.48
FRIENDSHIP II,46.67,65.31,64.19,0.0,39.13,72.35,47.99,68.8
FRIENDSHIP III,41.94,62.73,61.41,33.33,51.43,70.61,56.25,67.74
FRIENDSHIP IV,57.5,75.0,63.64,50.0,62.5,78.34,66.92,75.51
88888,0.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,45.08,55.28,48.8,56.63,50.11,70.22,52.21,65.5
