AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,406.0,2.0,11.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,214.0,170.0,0.0,0.0,0.0
30-34,451.0,0.0,9.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,251.0,164.0,0.0,0.0,0.0
35-39,502.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,262.0,218.0,0.0,0.0,3.0
40-44,580.0,0.0,16.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,297.0,248.0,0.0,1.0,0.0
45-49,792.0,0.0,14.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,5.0,1.0,1.0,411.0,333.0,0.0,1.0,1.0
50-54,982.0,0.0,28.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,1.0,1.0,511.0,408.0,0.0,0.0,0.0
55-59,1240.0,0.0,32.0,30.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,2.0,0.0,609.0,551.0,0.0,0.0,0.0
60-64,1440.0,1.0,44.0,28.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,730.0,624.0,0.0,0.0,0.0
65-OVER,5318.0,0.0,94.0,119.0,0.0,7.0,6.0,0.0,2.0,0.0,0.0,9.0,7.0,0.0,7.0,2.0,2.0,2606.0,2451.0,0.0,3.0,3.0
TOTAL,11711.0,3.0,252.0,265.0,0.0,13.0,15.0,0.0,4.0,0.0,0.0,35.0,19.0,0.0,23.0,7.0,5.0,5891.0,5167.0,0.0,5.0,7.0
