AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,46.15,39.21,42.31,0.0,26.32,59.76,50.0,49.91
30-34,58.33,51.02,38.89,50.0,50.0,68.26,57.78,60.42
35-39,53.85,59.65,36.36,25.0,60.0,75.59,64.52,68.74
40-44,86.67,64.31,53.85,100.0,42.86,77.0,56.94,71.78
45-49,66.67,64.32,50.0,0.0,50.0,79.13,58.82,73.41
50-54,77.27,66.37,75.0,33.33,71.43,81.87,58.75,75.54
55-59,59.09,69.23,60.0,0.0,40.0,81.85,61.25,76.61
60-64,72.73,73.02,75.0,33.33,60.0,85.06,53.23,80.03
65-OVER,75.76,73.87,66.67,66.67,87.5,82.86,62.41,80.07
TOTAL,67.97,63.05,54.01,38.89,50.0,78.73,58.53,72.58
