PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
ALEXANDER,0.00,9.00,14.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,105.0,93.00,0.00,77.00,74.00,374.0
FOUR POINTS,2.00,59.00,67.00,0.00,17.00,8.00,0.00,2.00,3.00,0.00,11.00,19.00,0.00,8.00,4.00,1.00,720.0,678.0,0.00,294.0,241.0,2134.0
GIRARD,0.00,11.00,11.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,1.00,0.00,1.00,149.0,165.0,0.00,194.0,141.0,678.0
GOUGH,0.00,5.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,64.00,74.00,0.00,140.0,123.0,418.0
GREENSCUT,0.00,30.00,33.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,5.00,2.00,0.00,1.00,0.00,0.00,302.0,278.0,0.00,188.0,152.0,995.0
KEYSVILLE,0.00,18.00,11.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00,1.00,6.00,0.00,5.00,4.00,0.00,99.00,98.00,0.00,107.0,95.00,449.0
MIDVILLE,0.00,7.00,11.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,85.00,98.00,0.00,138.0,106.0,448.0
MUNNERLYN,0.00,3.00,8.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,62.00,64.00,0.00,63.00,70.00,274.0
SARDIS,0.00,10.00,20.00,0.00,6.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282.0,227.0,0.00,239.0,168.0,955.0
SCOTTS CROSSROADS,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,41.00,41.00,0.00,90.00,81.00,262.0
TELFAIR,0.00,16.00,33.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,2.00,5.00,0.00,1.00,1.00,1.00,271.0,266.0,0.00,204.0,199.0,1003.0
ST. CLAIR,0.00,10.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,2.00,0.00,90.00,84.00,0.00,104.0,86.00,386.0
VIDETTE,0.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,74.00,71.00,0.00,76.00,76.00,306.0
NORTH WAYNESBORO,0.00,47.00,61.00,0.00,3.00,1.00,0.00,1.00,2.00,0.00,2.00,1.00,0.00,2.00,3.00,0.00,328.0,314.0,0.00,1250.0,801.0,2816.0
SOUTH WAYNESBORO,0.00,53.00,58.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,6.00,4.00,0.00,5.00,0.00,3.00,883.0,762.0,2.00,682.0,439.0,2904.0
BLAKENEY,0.00,17.00,5.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,107.0,89.00,0.00,256.0,132.0,610.0
TOTAL,2.00,304.0,350.0,0.00,38.00,28.00,0.00,4.00,8.00,0.00,34.00,43.00,0.00,28.00,15.00,6.00,3662.0,3402.0,2.00,4102.0,2984.0,15012.0
