AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,597.0,1.0,46.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,1.0,0.0,246.0,197.0,0.0,45.0,24.0
30-34,658.0,0.0,33.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,292.0,217.0,0.0,72.0,23.0
35-39,741.0,0.0,26.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,314.0,247.0,0.0,88.0,30.0
40-44,800.0,0.0,25.0,29.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,1.0,0.0,0.0,345.0,261.0,0.0,84.0,37.0
45-49,965.0,0.0,24.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,418.0,355.0,0.0,84.0,45.0
50-54,1025.0,0.0,34.0,31.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,449.0,373.0,0.0,83.0,40.0
55-59,1055.0,0.0,25.0,22.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,425.0,400.0,0.0,107.0,63.0
60-64,1099.0,0.0,14.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,0.0,465.0,441.0,0.0,95.0,60.0
65-OVER,2907.0,0.0,50.0,43.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,5.0,2.0,1.0,1284.0,1210.0,0.0,184.0,118.0
TOTAL,9847.0,1.0,277.0,231.0,0.0,12.0,12.0,0.0,2.0,2.0,0.0,30.0,29.0,0.0,17.0,11.0,2.0,4238.0,3701.0,0.0,842.0,440.0
