PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BEARDS CREEK,0.00,51.00,62.00,0.00,3.00,2.00,0.00,1.00,1.00,0.00,85.00,55.00,0.00,1.00,1.00,1.00,382.0,367.0,0.00,209.0,144.0,1365.0
RYE PATCH/OAK DALE,1.00,113.0,125.0,0.00,11.00,15.00,0.00,1.00,2.00,0.00,40.00,33.00,0.00,14.00,11.00,0.00,685.0,537.0,0.00,202.0,154.0,1944.0
SOUTH LUDOWICI,0.00,63.00,55.00,0.00,10.00,8.00,0.00,1.00,0.00,0.00,11.00,11.00,0.00,8.00,2.00,0.00,266.0,213.0,0.00,256.0,181.0,1085.0
NORTH LUDOWICI,0.00,92.00,87.00,0.00,14.00,12.00,0.00,0.00,1.00,0.00,41.00,23.00,0.00,27.00,8.00,0.00,470.0,364.0,0.00,259.0,187.0,1585.0
TIBET,0.00,36.00,26.00,0.00,3.00,1.00,0.00,0.00,2.00,0.00,4.00,3.00,0.00,2.00,0.00,0.00,333.0,313.0,0.00,67.00,48.00,838.0
ALMA FLOURNOY,0.00,7.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.0,109.0,0.00,29.00,22.00,278.0
FAITH BAPTIST ANNEX,1.00,22.00,23.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,8.00,2.00,0.00,2.00,2.00,1.00,263.0,221.0,1.00,65.00,43.00,657.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,0.00,0.00,1.00,7.00
99999,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2.00,0.00,3.00,1.00,14.00
TOTAL,2.00,386.0,384.0,0.00,42.00,40.00,0.00,4.00,6.00,0.00,189.0,127.0,0.00,54.00,24.00,2.00,2513.0,2128.0,1.00,1090.0,781.0,7773.0
