AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,2.080,0.00,0.00,5.000,11.65,3.280,9.420
25-29,0.00,2.170,0.00,0.00,10.00,8.150,7.350,7.150
30-34,13.33,4.920,12.50,0.00,0.00,12.73,6.520,11.63
35-39,0.00,1.710,0.00,0.00,0.00,18.66,8.510,16.07
40-44,9.090,7.630,0.00,50.00,16.67,21.49,10.20,19.27
45-49,0.00,6.870,0.00,0.00,0.00,27.36,8.570,24.15
50-54,9.090,8.920,0.00,0.00,0.00,28.32,8.890,25.20
55-59,0.00,14.63,0.00,0.00,33.33,34.14,23.53,31.74
60-64,0.00,18.37,33.33,0.00,0.00,38.90,15.91,35.81
65-OVER,20.00,23.86,28.57,50.00,0.00,44.21,27.85,42.29
TOTAL,4.950,10.63,4.040,25.00,6.150,28.96,11.77,26.12
