PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
REDSTONE,12.02,10.36,0.00,11.15
RANDOLPH,15.95,13.76,0.00,14.82
NEWTOWN,22.16,18.85,0.00,20.44
HARRISBURG,22.32,22.16,33.33,22.25
CUNNINGHAM,16.54,13.98,0.00,15.23
MILLER,18.94,17.00,0.00,17.94
WILSON,21.02,21.88,0.00,21.47
HOSCHTON,20.91,15.71,0.00,18.14
TALMO,16.41,18.05,100.0,17.32
CENTER,17.20,14.56,0.00,15.82
ATTICA,18.20,12.20,0.00,15.06
PORTER,11.28,11.85,0.00,11.57
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
N JEFFERSON,16.08,13.64,50.00,14.79
N MINISH,20.32,18.39,0.00,19.22
S JEFFERSON,13.27,13.24,0.00,13.24
S MINISH,19.89,16.46,0.00,18.00
TOTAL,16.80,15.02,12.50,15.86
