PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1663,1.000,266.0,278.0,0.00,7.000,14.00,0.00,0.00,0.00,0.00,27.00,25.00,0.00,10.00,4.000,0.00,1611.0,1529.0,0.00,107.0,82.00,3961.0
1675,0.00,50.00,51.00,0.00,2.000,2.000,0.00,0.00,0.00,0.00,4.000,2.000,0.00,2.000,2.000,0.00,406.0,375.0,0.00,35.00,27.00,958.0
250,0.00,204.0,233.0,0.00,4.000,13.00,0.00,0.00,0.00,0.00,10.00,11.00,0.00,31.00,24.00,1.000,1334.0,1157.0,0.00,120.0,108.0,3250.0
414,1.000,65.00,72.00,0.00,3.000,2.000,0.00,1.000,0.00,0.00,0.00,2.000,0.00,2.000,0.00,0.00,461.0,441.0,0.00,22.00,22.00,1094.0
415,0.00,312.0,291.0,0.00,20.00,11.00,0.00,1.000,0.00,0.00,14.00,18.00,0.00,9.000,9.000,0.00,1621.0,1427.0,0.00,198.0,157.0,4088.0
416,2.000,159.0,155.0,0.00,6.000,4.000,0.00,1.000,0.00,0.00,7.000,9.000,0.00,4.000,2.000,2.000,953.0,830.0,0.00,56.00,40.00,2230.0
417,0.00,371.0,364.0,0.00,22.00,21.00,0.00,0.00,0.00,0.00,30.00,19.00,0.00,14.00,22.00,0.00,1789.0,1562.0,0.00,171.0,145.0,4530.0
418,0.00,239.0,187.0,0.00,14.00,9.000,0.00,2.000,0.00,0.00,14.00,8.000,0.00,9.000,8.000,0.00,1332.0,1119.0,0.00,531.0,393.0,3865.0
419,0.00,287.0,269.0,0.00,15.00,7.000,0.00,0.00,0.00,0.00,31.00,24.00,0.00,11.00,9.000,0.00,1206.0,943.0,1.000,337.0,235.0,3375.0
420,0.00,353.0,289.0,0.00,18.00,9.000,0.00,2.000,1.000,0.00,15.00,13.00,0.00,7.000,9.000,0.00,823.0,632.0,0.00,1144.0,695.0,4010.0
421,1.000,316.0,281.0,0.00,18.00,21.00,0.00,0.00,0.00,0.00,33.00,21.00,0.00,19.00,18.00,1.000,1320.0,1104.0,1.000,264.0,175.0,3593.0
422,1.000,237.0,271.0,0.00,10.00,7.000,0.00,0.00,0.00,0.00,20.00,18.00,0.00,5.000,6.000,1.000,1534.0,1425.0,0.00,102.0,102.0,3739.0
423,1.000,265.0,293.0,0.00,10.00,7.000,0.00,0.00,0.00,0.00,15.00,16.00,0.00,10.00,9.000,0.00,1598.0,1419.0,0.00,115.0,81.00,3839.0
424,0.00,209.0,197.0,0.00,12.00,6.000,0.00,1.000,0.00,0.00,14.00,13.00,0.00,5.000,6.000,1.000,1171.0,1122.0,0.00,76.00,65.00,2898.0
425,0.00,295.0,257.0,0.00,20.00,8.000,0.00,1.000,0.00,0.00,18.00,13.00,0.00,3.000,5.000,1.000,883.0,703.0,0.00,736.0,387.0,3330.0
426,0.00,117.0,114.0,0.00,3.000,3.000,0.00,0.00,0.00,0.00,7.000,0.00,0.00,6.000,4.000,0.00,732.0,683.0,0.00,82.00,72.00,1823.0
427,0.00,281.0,268.0,0.00,13.00,12.00,0.00,1.000,2.000,0.00,26.00,16.00,0.00,22.00,13.00,2.000,977.0,871.0,0.00,293.0,213.0,3010.0
454,0.00,92.00,72.00,0.00,6.000,1.000,0.00,0.00,2.000,0.00,5.000,7.000,0.00,5.000,5.000,0.00,458.0,405.0,0.00,41.00,32.00,1131.0
502,1.000,91.00,100.0,0.00,3.000,6.000,0.00,0.00,0.00,0.00,7.000,2.000,0.00,2.000,1.000,0.00,706.0,603.0,0.00,21.00,21.00,1564.0
503,0.00,65.00,58.00,0.00,0.00,2.000,0.00,0.00,0.00,0.00,1.000,0.00,0.00,1.000,0.00,0.00,383.0,381.0,0.00,42.00,24.00,957.0
559,0.00,96.00,83.00,0.00,2.000,5.000,0.00,1.000,0.00,0.00,9.000,5.000,0.00,4.000,2.000,1.000,605.0,584.0,0.00,60.00,67.00,1524.0
88888,0.00,0.00,0.00,0.00,2.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.000
TOTAL,8.000,4370.0,4183.0,0.00,210.0,170.0,0.00,11.00,5.000,0.00,307.0,242.0,0.00,181.0,158.0,10.00,21903.0,19315.0,2.000,4553.0,3143.0,58771.0
